"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1566","User registration with email, username and password","tests.authentication","Sun Apr 19 10:11:07 UTC 2026","passed","Sun Apr 19 10:11:08 UTC 2026","TestRegistration","test_registration","",""
"","1569","Check dashboard page is displaying","tests.dashboard","Sun Apr 19 10:11:12 UTC 2026","passed","Sun Apr 19 10:11:13 UTC 2026","TestDashboard","test_dashboard","",""
"","0","test_regression_case","tests.pytest","Sun Apr 19 10:11:12 UTC 2026","passed","Sun Apr 19 10:11:12 UTC 2026","","test_markers","",""
"","1501","Navigation from login page to registration page","tests.authentication","Sun Apr 19 10:11:06 UTC 2026","passed","Sun Apr 19 10:11:07 UTC 2026","TestAuthorization","test_authorization","",""
"","0","test_my","tests.pytest","Sun Apr 19 10:11:12 UTC 2026","passed","Sun Apr 19 10:11:12 UTC 2026","","test_markers","",""
"","1931","User login with wrong email or password","tests.authentication","Sun Apr 19 10:11:01 UTC 2026","passed","Sun Apr 19 10:11:03 UTC 2026","TestAuthorization","test_authorization","",""
"","1641","User login with wrong email or password","tests.authentication","Sun Apr 19 10:11:05 UTC 2026","passed","Sun Apr 19 10:11:06 UTC 2026","TestAuthorization","test_authorization","",""
"","1526","Check displaying of empty courses list","tests.courses","Sun Apr 19 10:11:10 UTC 2026","passed","Sun Apr 19 10:11:11 UTC 2026","TestCourses","test_courses","",""
"","3039","User login with correct email and password","tests.authentication","Sun Apr 19 10:11:01 UTC 2026","passed","Sun Apr 19 10:11:04 UTC 2026","TestAuthorization","test_authorization","",""
"","2422","Create course","tests.courses","Sun Apr 19 10:11:09 UTC 2026","passed","Sun Apr 19 10:11:11 UTC 2026","TestCourses","test_courses","",""
"","1759","User login with wrong email or password","tests.authentication","Sun Apr 19 10:11:04 UTC 2026","passed","Sun Apr 19 10:11:05 UTC 2026","TestAuthorization","test_authorization","",""
